Region_description,Network_zones,CapRes_1
TX,z448,0.1375
TX,z449,0.1375
TX,z450,0.1375
TX,z451,0.1375
TX,z452,0.1375
TX,z453,0.1375
TX,z454,0.1375
TX,z455,0.1375
TX,z456,0.1375
TX,z457,0.1375
TX,z458,0.1375
TX,z459,0.1375
TX,z460,0.1375
TX,z461,0.1375
TX,z462,0.1375
TX,z463,0.1375
TX,z464,0.1375
TX,z465,0.1375
TX,z466,0.1375
TX,z467,0.1375
TX,z468,0.1375
TX,z469,0.1375
TX,z470,0.1375
TX,z471,0.1375
TX,z472,0.1375
TX,z473,0.1375
TX,z474,0.1375
TX,z475,0.1375
TX,z476,0.1375
TX,z477,0.1375
TX,z478,0.1375
TX,z479,0.1375
TX,z480,0.1375
TX,z481,0.1375
TX,z482,0.1375
TX,z483,0.1375
TX,z484,0.1375
TX,z485,0.1375
TX,z486,0.1375
TX,z487,0.1375
TX,z488,0.1375
TX,z489,0.1375
TX,z490,0.1375
TX,z491,0.1375
TX,z492,0.1375
TX,z493,0.1375
TX,z494,0.1375
TX,z495,0.1375
TX,z496,0.1375
TX,z497,0.1375
TX,z498,0.1375
TX,z499,0.1375
TX,z500,0.1375
TX,z501,0.1375
TX,z502,0.1375
TX,z503,0.1375
TX,z504,0.1375
TX,z505,0.1375
TX,z506,0.1375
TX,z507,0.1375
TX,z508,0.1375
TX,z509,0.1375
TX,z510,0.1375
TX,z511,0.1375
TX,z512,0.1375
TX,z513,0.1375
TX,z514,0.1375
TX,z515,0.1375
TX,z516,0.1375
TX,z517,0.1375
TX,z518,0.1375
TX,z519,0.1375
TX,z520,0.1375
TX,z521,0.1375
TX,z522,0.1375
TX,z523,0.1375
TX,z524,0.1375
TX,z525,0.1375
TX,z526,0.1375
TX,z527,0.1375
TX,z528,0.1375
TX,z529,0.1375
TX,z530,0.1375
TX,z531,0.1375
TX,z532,0.1375
TX,z533,0.1375
TX,z534,0.1375
TX,z535,0.1375
TX,z536,0.1375
TX,z537,0.1375
TX,z538,0.1375
TX,z539,0.1375
TX,z540,0.1375
TX,z541,0.1375
TX,z542,0.1375
TX,z543,0.1375
TX,z544,0.1375
TX,z545,0.1375
TX,z546,0.1375
TX,z547,0.1375
TX,z548,0.1375
TX,z549,0.1375
TX,z550,0.1375
TX,z551,0.1375
TX,z552,0.1375
TX,z553,0.1375
TX,z554,0.1375
TX,z555,0.1375
TX,z556,0.1375
TX,z557,0.1375
TX,z558,0.1375
TX,z559,0.1375
TX,z560,0.1375
TX,z561,0.1375
TX,z562,0.1375
TX,z563,0.1375
TX,z564,0.1375
TX,z565,0.1375
TX,z566,0.1375
TX,z567,0.1375
TX,z568,0.1375
TX,z569,0.1375
TX,z570,0.1375
TX,z571,0.1375
TX,z572,0.1375
TX,z573,0.1375
TX,z574,0.1375
TX,z575,0.1375
TX,z576,0.1375
TX,z577,0.1375
TX,z578,0.1375
TX,z579,0.1375
TX,z580,0.1375
TX,z581,0.1375
TX,z582,0.1375
TX,z583,0.1375
TX,z584,0.1375
TX,z585,0.1375
TX,z586,0.1375
TX,z587,0.1375
TX,z588,0.1375
TX,z589,0.1375
TX,z590,0.1375
TX,z591,0.1375
TX,z592,0.1375
TX,z593,0.1375
TX,z594,0.1375
TX,z595,0.1375
TX,z596,0.1375
TX,z597,0.1375
TX,z598,0.1375
TX,z599,0.1375
TX,z600,0.1375
TX,z601,0.1375
TX,z602,0.1375
TX,z603,0.1375
TX,z604,0.1375
TX,z605,0.1375
TX,z606,0.1375
TX,z607,0.1375
TX,z608,0.1375
TX,z609,0.1375
TX,z610,0.1375
TX,z611,0.1375
TX,z612,0.1375
TX,z613,0.1375
TX,z614,0.1375
TX,z615,0.1375
TX,z616,0.1375
TX,z617,0.1375
TX,z618,0.1375
TX,z619,0.1375
TX,z620,0.1375
TX,z621,0.1375
TX,z622,0.1375
TX,z623,0.1375
TX,z624,0.1375
TX,z625,0.1375
TX,z626,0.1375
TX,z627,0.1375
TX,z628,0.1375
TX,z629,0.1375
TX,z630,0.1375
TX,z631,0.1375
TX,z632,0.1375
TX,z633,0.1375
TX,z634,0.1375
TX,z635,0.1375
TX,z636,0.1375
TX,z637,0.1375
TX,z638,0.1375
TX,z639,0.1375
TX,z640,0.1375
TX,z641,0.1375
TX,z642,0.1375
TX,z643,0.1375
TX,z644,0.1375
TX,z645,0.1375
TX,z646,0.1375
TX,z647,0.1375
TX,z648,0.1375
TX,z649,0.1375
TX,z650,0.1375
TX,z651,0.1375
TX,z652,0.1375
TX,z653,0.1375
TX,z654,0.1375
TX,z655,0.1375
TX,z656,0.1375
TX,z657,0.1375
TX,z658,0.1375
TX,z659,0.1375
TX,z660,0.1375
TX,z661,0.1375
TX,z662,0.1375
TX,z663,0.1375
TX,z664,0.1375
TX,z665,0.1375
TX,z666,0.1375
TX,z667,0.1375
TX,z668,0.1375
TX,z669,0.1375
TX,z670,0.1375
TX,z671,0.1375
TX,z672,0.1375
TX,z673,0.1375
TX,z674,0.1375
TX,z675,0.1375
TX,z676,0.1375
TX,z677,0.1375
TX,z678,0.1375
TX,z679,0.1375
TX,z680,0.1375
TX,z681,0.1375
TX,z682,0.1375
TX,z683,0.1375
TX,z684,0.1375
TX,z685,0.1375
TX,z686,0.1375
TX,z687,0.1375
TX,z688,0.1375
TX,z689,0.1375
TX,z690,0.1375
TX,z691,0.1375
TX,z692,0.1375
TX,z693,0.1375
TX,z694,0.1375
TX,z695,0.1375
TX,z696,0.1375
TX,z697,0.1375
TX,z698,0.1375
TX,z699,0.1375
TX,z700,0.1375
TX,z701,0.1375
TX,z702,0.1375
TX,z703,0.1375
TX,z704,0.1375
TX,z705,0.1375
TX,z706,0.1375
TX,z707,0.1375
TX,z708,0.1375
TX,z709,0.1375
TX,z710,0.1375
TX,z711,0.1375
TX,z712,0.1375
TX,z713,0.1375
TX,z714,0.1375
TX,z715,0.1375
TX,z716,0.1375
TX,z717,0.1375
TX,z718,0.1375
TX,z719,0.1375
TX,z720,0.1375
TX,z721,0.1375
TX,z722,0.1375
TX,z723,0.1375
TX,z724,0.1375
TX,z725,0.1375
TX,z726,0.1375
TX,z727,0.1375
TX,z728,0.1375
TX,z729,0.1375
TX,z730,0.1375
TX,z731,0.1375
TX,z732,0.1375
TX,z733,0.1375
TX,z734,0.1375
TX,z735,0.1375
TX,z736,0.1375
TX,z737,0.1375
TX,z738,0.1375
TX,z739,0.1375
TX,z740,0.1375
TX,z741,0.1375
TX,z742,0.1375
TX,z743,0.1375
TX,z744,0.1375
TX,z745,0.1375
TX,z746,0.1375
TX,z747,0.1375
TX,z748,0.1375
TX,z749,0.1375
TX,z750,0.1375
TX,z751,0.1375
TX,z752,0.1375
TX,z753,0.1375
TX,z754,0.1375
TX,z755,0.1375
TX,z756,0.1375
TX,z757,0.1375
TX,z758,0.1375
TX,z759,0.1375
TX,z760,0.1375
TX,z761,0.1375
TX,z762,0.1375
TX,z763,0.1375
TX,z764,0.1375
TX,z765,0.1375
TX,z766,0.1375
TX,z767,0.1375
TX,z768,0.1375
TX,z769,0.1375
TX,z770,0.1375
TX,z771,0.1375
TX,z772,0.1375
TX,z773,0.1375
TX,z774,0.1375
TX,z775,0.1375
TX,z776,0.1375
TX,z777,0.1375
TX,z778,0.1375
TX,z779,0.1375
TX,z780,0.1375
TX,z781,0.1375
TX,z782,0.1375
TX,z783,0.1375
TX,z784,0.1375
TX,z785,0.1375
TX,z786,0.1375
TX,z787,0.1375
TX,z788,0.1375
TX,z789,0.1375
TX,z790,0.1375
TX,z791,0.1375
TX,z792,0.1375
TX,z793,0.1375
TX,z794,0.1375
TX,z795,0.1375
TX,z796,0.1375
TX,z797,0.1375
TX,z798,0.1375
TX,z799,0.1375
TX,z800,0.1375
TX,z801,0.1375
TX,z802,0.1375
TX,z803,0.1375
TX,z804,0.1375
TX,z805,0.1375
TX,z806,0.1375
